1774,392,91335
1779,392,23670
1792,392,16620
1803,376,24135
1803,414,14655
1803,724,300825
1804,376,25020
1820,360,38670
1834,710,10650
1878,784,38505
1892,276,485265
1892,372,91200
1892,414,408075
1894,372,252420
1895,620,32160
1897,392,135525
1901,170,179070
1922,528,12600
1924,372,24225
1947,356,387735
1953,702,178800
1953,840,35010
1975,566,1308360
1979,36,39420
1984,360,59670
1986,788,17970
2009,76,17520
2012,512,15270
2019,752,10590
2024,276,21645
2033,360,16170
2033,724,14175
2046,404,40755
2046,608,17670
2062,840,42585
2077,356,16890
2082,36,15360
2089,682,23610
2121,784,29775
2128,40,16710
2128,360,267210
2129,104,53895
2129,458,1886700
2131,356,386610
2136,203,27750
2137,380,35865
2138,404,34215
2142,414,28530
2143,458,68520
2152,360,70155
2158,586,1936815
2158,752,173970
2163,76,69555
2164,422,16200
2167,682,59760
2167,840,196830
2177,528,12300
2189,152,29385
2192,196,39690
2192,780,19395
2193,196,11955
2198,300,214125
2198,528,1016265
2200,300,197850
2202,44,19320
2202,807,37185
2206,470,34980
2207,352,12420
2209,840,662820
2222,288,29850
2223,48,55845
2232,840,13260
2258,250,27450
2259,344,14010
2263,608,1737000
2263,840,1532835
2274,512,26805
2293,528,58290
2309,818,11085
2332,566,67500
2335,620,21675
2336,504,64050
2337,504,25980
2339,792,87765
2343,372,596295
2343,524,23850
2356,616,94080
2358,250,52710
2359,458,25095
2362,578,23670
2370,56,11625
2372,414,12630
2377,504,42765
2381,729,20760
2384,328,23535
2385,144,33510
2385,196,31005
2386,112,163950
2386,446,24630
2391,250,49980
2393,566,39900
2396,634,34140
2401,642,14820
2404,214,81915
2405,760,71430
2406,422,221310
2406,470,22350
2409,784,103215
2410,702,326415
2410,840,822585
2411,231,12765
2412,12,16935
2412,704,24540
2415,372,23580
2415,586,455070
2424,512,11460
2434,788,98280
2439,76,97605
2443,688,15435
2443,724,91215
2446,586,1219920
2449,360,413250
2456,124,27495
2463,826,12855
1780,826,27720
1804,368,15135
1828,360,18180
1834,840,52935
1836,554,13050
1837,764,72630
1840,608,32595
1843,784,66810
1844,784,24060
1869,788,26700
1876,512,14850
1883,48,13110
1886,124,30315
1890,124,108210
1892,858,17895
1895,50,90225
1895,398,13635
1897,410,99330
1897,792,62445
1898,840,88635
1913,554,73140
1917,414,20595
1939,604,22440
1940,48,10320
1949,710,73875
1953,608,27735
1972,356,29730
1974,710,27975
1975,8,35955
1983,682,2534220
1985,840,40575
1987,4,17775
1988,586,24900
1993,364,16365
1996,434,27210
2010,422,24255
2017,512,61125
2019,608,121680
2059,702,48810
2068,826,135270
2070,100,14985
2074,76,23115
2074,144,25125
2074,348,20865
2098,356,16635
2127,858,30345
2130,554,32190
2136,428,25545
2139,512,95100
2141,566,15600
2143,608,19305
2148,12,57735
2148,642,19815
2149,300,37530
2149,356,292755
2151,608,47205
2154,268,15180
