interest,Afghanistan,Algeria,Angola,Argentina,Australia,Austria,Bahrain,Bangladesh,Belgium,Bolivia,Bosnia-Herzegovina,Botswana,Brazil,Brunei,Cambodia,Cameroon,Canada,Chile,China,Colombia,Congo Dem Rep,CoteDIvore,Cuba,Czech,Denmark,Ecuador,Egypt,Ethiopia,Finland,France,Gambia,Germany,Ghana,Greece,Hong Kong,Hungary,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Kuwait,Lebanon,Lesotho,Liberia,Libya,Madagascar,Malawi,Malaysia,Mali,Mauritania,Mauritius,Mexico,Mongolia,Morocco,Mozambique,Namibia,Netherlands,New Zealand,Niger,Nigeria,Norway,Oman,Pakistan,Palestine,Paraguay,Peru,Philippines,Portugal,Qatar,Romania,Russia,Rwanda,Saudi Arabia,Senegal,Seychelles,Sierra Leone,Singapore,Slovakia,Somalia,South Africa,South Korea,South Sudan,Spain,Sri Lanka,Sudan,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tanzania,Thailand,Togo,Tunisia,Turkey,UAE,UK,USA,Uganda,Ukraine,Uruguay,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe
3-D Graphics,,2235750.0,,,59550.0,20145.0,143460.0,,84975.0,,,,,,,,108210.0,,,,,,,,13620.0,,880935.0,,10095.0,333480.0,,324660.0,,17730.0,,,15360.0,13455.0,,999165.0,,163935.0,125730.0,,,1423305.0,,270195.0,200910.0,,,310230.0,,,23940.0,,110985.0,,,,8618280.0,,,75090.0,,,,23205.0,359310.0,,636540.0,,,,,136215.0,,29760.0,,2165955.0,,,,12465.0,,,,,11145.0,150180.0,,462480.0,,93210.0,13815.0,282615.0,,,12030.0,,322380.0,190065.0,551460.0,170490.0,319455.0,,28620.0,,,,176775.0,,
Action Video Games,,262575.0,,100410.0,688065.0,32010.0,161550.0,47100.0,58620.0,10890.0,12015.0,,97470.0,,,,330795.0,37650.0,,64260.0,,,,19515.0,31635.0,24210.0,3455475.0,,20430.0,219630.0,,293730.0,47415.0,48540.0,24900.0,27495.0,3852345.0,388215.0,16560.0,201585.0,97335.0,99465.0,371040.0,,132825.0,404565.0,216000.0,533805.0,333750.0,,,59715.0,,,194265.0,,,,127875.0,,489525.0,,,127320.0,68505.0,,170910.0,35205.0,314385.0,367575.0,232185.0,,51915.0,346260.0,24855.0,382125.0,62535.0,19260.0,,3187860.0,,,,459165.0,,,270390.0,129405.0,,124200.0,29505.0,76980.0,,73380.0,39255.0,81510.0,45195.0,18015.0,445875.0,,98280.0,233355.0,1670025.0,752205.0,1677900.0,18780.0,131595.0,12510.0,22080.0,642750.0,36690.0,,
Action and Adventure Movies,,49080.0,,34200.0,468045.0,,38445.0,134565.0,26325.0,11850.0,,,87570.0,,12705.0,,125940.0,21345.0,,40245.0,,,,11160.0,23445.0,18615.0,89175.0,,11850.0,273435.0,,80430.0,,15915.0,16620.0,,1765365.0,302145.0,,37770.0,36435.0,18540.0,49905.0,,221985.0,13005.0,29550.0,65955.0,21105.0,,,,,,962160.0,,,,60900.0,,37740.0,,,41040.0,24030.0,,27495.0,16680.0,34380.0,339630.0,,,30495.0,381435.0,14925.0,73125.0,14985.0,,,184890.0,11055.0,,,133125.0,,,129630.0,219855.0,,230985.0,12075.0,,,23835.0,17280.0,,14295.0,,124245.0,,16380.0,42180.0,291240.0,260145.0,867060.0,,14505.0,,18405.0,52830.0,15270.0,,
Action-Adventure Video Games,12885.0,344265.0,,328080.0,638055.0,181335.0,104190.0,284415.0,173520.0,47130.0,161835.0,,413460.0,11775.0,42000.0,,724275.0,167325.0,,315855.0,,12330.0,,127050.0,93810.0,116400.0,819045.0,28830.0,66060.0,856665.0,,1136130.0,33600.0,444765.0,173820.0,146190.0,8534370.0,2288850.0,,215295.0,294120.0,244725.0,1128465.0,18555.0,1428120.0,184110.0,363735.0,349215.0,238695.0,,,29535.0,,,648315.0,,,26760.0,591540.0,,508110.0,,,374610.0,109755.0,,205830.0,78060.0,141255.0,1212285.0,94815.0,20985.0,209235.0,657495.0,75810.0,249225.0,225030.0,43920.0,,1817775.0,10755.0,,,533865.0,31830.0,,289950.0,811500.0,,929445.0,140985.0,33525.0,,186510.0,144510.0,51900.0,454830.0,49560.0,1403355.0,,136275.0,2893260.0,1008645.0,1954920.0,3975795.0,37965.0,478935.0,47565.0,89910.0,2760720.0,47025.0,14490.0,16545.0
Adoption and Fostering,,,,,13365.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13290.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35205.0,,20625.0,45945.0,,,15600.0,,,,,,,22245.0,,,,,,,,,,,,,,,,27030.0,,16920.0,,,,,,,,
Adult Album Alternative,,,,55680.0,58950.0,,,,12810.0,17445.0,,,35700.0,,,,48060.0,44415.0,,79980.0,,,,,,31335.0,,,,109575.0,,27300.0,,,,,68025.0,566250.0,,,25035.0,,14145.0,,24240.0,,,,13500.0,,,,,,42420.0,,,,145455.0,,,,,13890.0,33555.0,,,,,21795.0,,,62760.0,94755.0,,,,,,12675.0,,,,14490.0,,,21480.0,,,144930.0,,,,,10275.0,,,,82515.0,,,,24585.0,26130.0,209775.0,,,,24675.0,,,,
Adult Contemporary Music,11895.0,49260.0,,14565.0,135600.0,,83190.0,,23430.0,,,,66105.0,,,,72315.0,,,17775.0,,,,,,,68490.0,16740.0,,232695.0,,46425.0,16680.0,12315.0,,,1339395.0,296685.0,,20070.0,68490.0,12255.0,40905.0,,91335.0,18135.0,20100.0,148050.0,17970.0,,,,,,1225800.0,,,,27630.0,,89010.0,,,37275.0,28515.0,,184005.0,,99300.0,290325.0,,,17805.0,423810.0,15885.0,205680.0,18675.0,,,482490.0,,,,72735.0,,,121320.0,21645.0,,84525.0,,,,12345.0,16230.0,,,,144690.0,,17895.0,13200.0,916350.0,50715.0,213480.0,,,,,19305.0,,,
Adult Education,,,,,173700.0,,,,,,,,,,,,,,,,,,,,,,,,,28125.0,,11460.0,,,,,208680.0,12180.0,,,,,22740.0,,21780.0,,,,,,,,,,151770.0,,,,,,,,,,12060.0,,,,,,,,,14670.0,,27705.0,,10005.0,,39300.0,,,,26640.0,,,28575.0,,,21630.0,,,,,,,,,27390.0,,,10710.0,68535.0,,33360.0,,,,,,,,
Adventure Travel,,83280.0,,,47310.0,,51960.0,,,,,,,,,,33030.0,,,,,,,,,,330780.0,,,41910.0,,41040.0,14235.0,,,,3739005.0,388980.0,23955.0,75240.0,,373740.0,11385.0,,387915.0,149310.0,61365.0,144915.0,87630.0,,,21840.0,,,641355.0,,,,,,116820.0,,10125.0,16050.0,136290.0,,30735.0,,149640.0,18255.0,23085.0,,,43965.0,,147000.0,,,,1153680.0,,,,562275.0,,,347940.0,199965.0,,,,19080.0,,13575.0,,35145.0,667575.0,20415.0,975240.0,,49605.0,28620.0,1132050.0,43380.0,143310.0,,,,,,12795.0,,10020.0
Adventure Video Games,,69180.0,,186405.0,1005540.0,108810.0,30510.0,108990.0,248850.0,31470.0,44415.0,,232320.0,,17625.0,,635685.0,94425.0,,178935.0,,,,45960.0,59985.0,75870.0,195360.0,,71115.0,533175.0,,488460.0,17760.0,91440.0,48465.0,59085.0,3582255.0,1156455.0,11985.0,45225.0,240375.0,66315.0,491145.0,19380.0,497805.0,41790.0,79140.0,82560.0,165780.0,,,,,,415530.0,,,14925.0,387960.0,,94575.0,,,255825.0,108390.0,,72885.0,50880.0,33705.0,595530.0,16995.0,12990.0,137430.0,592530.0,49185.0,81525.0,101700.0,13035.0,,270945.0,,,,474300.0,16635.0,,191640.0,157305.0,,702765.0,64635.0,,,116970.0,71715.0,10935.0,53430.0,17805.0,300285.0,,30060.0,548850.0,1149975.0,1558830.0,3768270.0,,42915.0,27360.0,80445.0,960585.0,,,
