,interest,country,count
10712,Movies,India,19550115
12602,News and Politics,USA,16467780
17456,Talk Radio,USA,15902970
15256,News Radio,USA,15690045
13507,Business News Radio,USA,15475815
11762,International News,USA,15009825
6395,National News,USA,14947725
1821,Local News,USA,14826945
20740,Television,USA,13538715
931,Animation Movies,India,13504695
13093,Video Game Genres,India,13175610
15227,News and Politics,India,12826875
13271,Indie and Arthouse Movies,India,12130605
14507,Television,India,11987445
15508,International News,India,11389365
16033,Horror Movies,India,10337610
18643,Romance Movies,India,10293255
3677,Role-Playing Video Games,India,9638520
13043,National News,India,9627675
10731,Local News,India,9440955
20513,News and Politics,UAE,9250305
17611,Computer Software and Applications,Morocco,9046395
3202,Music and Party Video Games,India,8756820
16207,Photo Editing Software,Morocco,8690700
5805,Digital Audio,Morocco,8673015
20177,3-D Graphics,Morocco,8618280
3565,Desktop Publishing,Morocco,8597790
6024,Operating Systems,Morocco,8593530
1692,Fitness and Exercise,Morocco,8587365
20854,Action-Adventure Video Games,India,8534370
13832,Factual TV,USA,8445210
20313,International News,UAE,8401935
17299,Events and Attractions,India,8062485
4501,Music TV,USA,7684920
17763,Talk Radio,India,7582230
19768,News Radio,India,7542615
11884,Business News Radio,India,7515690
530,National News,UAE,7413660
19659,Talk Radio,Egypt,7100115
8993,Local News,UAE,7061280
11386,News Radio,Egypt,6917730
19870,Business News Radio,Egypt,6910680
6225,Puzzle Video Games,India,6870795
7772,Computer Software and Applications,India,6848175
13608,Educational Radio,Egypt,6518700
18567,Religion & Spirituality,Malaysia,6465975
3192,Video Game Genres,USA,6368700
1144,Job Search,Egypt,6367140
7463,Resume Writing and Advice,Egypt,6365760
15921,Job Fairs,Egypt,6335970
3882,Travel Type,India,6149100
19831,Drama Movies,India,6104715
4420,Video Software,India,6082470
6178,Islam,Malaysia,6055620
4598,Buddhism,Malaysia,6051630
20215,Fantasy Movies,India,5975115
3957,Sikhism,Malaysia,5737080
21057,Movies,USA,5643315
1578,Events and Attractions,UAE,5433360
484,Events and Attractions,Saudi Arabia,5360610
18397,Travel Locations,UAE,5358720
14519,Honeymoons and Getaways,India,5341755
1943,Documentary Movies,India,5158470
15334,Hinduism,Malaysia,5042430
11123,World Movies,India,5029140
20471,Computer Software and Applications,Japan,4955325
9856,Internet,Malaysia,4899915
18403,Role-Playing Video Games,USA,4809420
3460,Computer Software and Applications,Thailand,4717155
3092,Computer Software and Applications,Saudi Arabia,4693350
19477,Children's TV,USA,4628985
10676,Video Software,Japan,4628565
1879,Puzzle Video Games,USA,4560705
3954,Religion & Spirituality,India,4514925
7629,Asia Travel,UAE,4437210
7135,Internet,Thailand,4422210
5083,Animation TV,India,4420035
12138,Music and Party Video Games,USA,4359540
17260,Television,UAE,4334160
12413,Agnosticism,Malaysia,4300020
5891,Video Game Genres,Saudi Arabia,4235895
5447,Beach Travel,India,4211940
19883,Video Game Genres,Egypt,4115640
2045,News and Politics,Canada,4082490
17525,Internet,Philippines,4061145
17951,News and Politics,Pakistan,4005855
12692,Internet,Japan,3991380
2313,Action-Adventure Video Games,USA,3975795
1726,Hinduism,India,3931170
4495,Talk Radio,Canada,3926430
9004,Sikhism,India,3897480
15277,Computer Software and Applications,Philippines,3873345
14679,Internet,India,3868395
2960,News Radio,Canada,3867885
15007,International News,Canada,3856410
18874,Action Video Games,India,3852345
17917,Historic Site and Landmark Tours,India,3846945
6919,Web Hosting,Thailand,3844125
11353,National News,Canada,3829170
215,Business News Radio,Canada,3820200
1034,Web Design and HTML,Thailand,3793140
4456,Local News,Canada,3769845
16499,Adventure Video Games,USA,3768270
10724,News and Politics,Brazil,3758790
2550,Video Software,Philippines,3758760
4090,Television,Saudi Arabia,3746355
9374,Television,Nigeria,3740790
9026,Adventure Travel,India,3739005
20349,Television,Philippines,3707430
13159,International News,Brazil,3699525
16818,Computer Software and Applications,USA,3693480
11605,Strategy Video Games,India,3693315
13881,Web Design and HTML,Japan,3691020
8991,Local News,Brazil,3687240
6972,Travel Locations,India,3680280
16045,International News,Pakistan,3671685
11740,Web Hosting,Japan,3623805
19955,Educational Radio,USA,3620475
19726,Web Design and HTML,Philippines,3605910
2762,Web Conferencing,Thailand,3582510
17785,Adventure Video Games,India,3582255
20344,Talk Radio,Brazil,3575970
14024,South America Travel,UAE,3567180
7080,News Radio,Brazil,3567105
5754,Business News Radio,Brazil,3561840
12509,News and Politics,Saudi Arabia,3552780
10639,Talk Radio,Nigeria,3544485
7040,Weather,UAE,3536160
6960,News Radio,Nigeria,3524835
2400,Business News Radio,Nigeria,3522825
14642,Web Conferencing,Japan,3490815
1474,Web Development,Japan,3476490
1265,News and Politics,South Africa,3457815
20652,Action Video Games,Egypt,3455475
19237,Personal Celebrations & Life Events,India,3436230
2468,Web Hosting,Philippines,3406365
18325,Content Production,Egypt,3403530
16985,Role-Playing Video Games,Saudi Arabia,3399780
10980,Photo Editing Software,Philippines,3393015
14830,Factual TV,Nigeria,3380460
17297,Video Production,Egypt,3366930
4389,Music TV,Nigeria,3347340
16915,Web Conferencing,Philippines,3321585
15159,Video Game Genres,Turkey,3306885
9025,Music TV,India,3256320
13309,Africa Travel,UAE,3246705
15615,National News,Brazil,3234015
16156,Christianity,Malaysia,3221895
18299,Video Game Genres,Vietnam,3217920
14170,Movies,UAE,3203580
2367,International News,Saudi Arabia,3201180
10140,Role-Playing Video Games,Egypt,3199080
2190,Hotels and Motels,India,3192435
12237,Action Video Games,Saudi Arabia,3187860
3725,Music and Audio,India,3141315
15112,R&B/Soul/Funk,India,3141315
393,Songwriters/Folk,India,3141315
4506,Video Game Genres,Indonesia,3130800
19836,News and Politics,Australia,3109575
20752,Role-Playing Video Games,Turkey,3091980
12863,Australia and Oceania Travel,UAE,3059145
16392,Role-Playing Video Games,Vietnam,3054960
8274,Snooker/Pool/Billiards,USA,3054045
12957,Sports,USA,3054045
2101,Video Software,USA,3028875
1822,National News,Pakistan,3028455
9439,Movies,Malaysia,3026475
9447,Local News,Pakistan,3009285
14290,Personal Celebrations & Life Events,Malaysia,2991270
12331,Science Fiction TV,USA,2991180
14823,Television,Canada,2990790
18380,Sports,Australia,2988765
11879,Snooker/Pool/Billiards,Australia,2988765
6353,Computer Software and Applications,Turkey,2978130
18270,Personal Celebrations & Life Events,UAE,2963445
5755,Talk Radio,Australia,2962950
1015,Concerts & Music Events,Saudi Arabia,2923020
9033,Action-Adventure Video Games,Turkey,2893260
15255,News Radio,Australia,2887110
6865,Television,Australia,2876295
6758,Television,Pakistan,2869020
10232,Business News Radio,Australia,2849730
17319,Movies,Indonesia,2832900
6977,Video Game Genres,UK,2831835
16874,Snooker/Pool/Billiards,UAE,2825985
20241,Sports,UAE,2825985
8197,Computer Software and Applications,Algeria,2811735
11826,Economy,UAE,2801880
13795,National News,South Africa,2778525
1544,Video Game Genres,UAE,2775855
10856,Action-Adventure Video Games,Vietnam,2760720
7752,Holiday TV,USA,2752890
12895,Photo Editing Software,Saudi Arabia,2733840
15354,Sports TV,USA,2729280
1956,Local News,Saudi Arabia,2727210
11202,Computer Software and Applications,Malaysia,2723955
11442,Local News,South Africa,2721615
16210,Video Software,Turkey,2720775
478,Computer Software and Applications,Egypt,2711700
11915,Computer Software and Applications,Indonesia,2703600
2609,Snooker/Pool/Billiards,Pakistan,2701515
14390,Sports,Pakistan,2701515
739,National News,Australia,2692485
7087,Reality TV,USA,2686290
20560,Music and Party Video Games,Vietnam,2686245
6837,International News,Australia,2685555
18103,Educational Video Games,Egypt,2672415
9205,Crime and Mystery Movies,India,2669415
12292,Local News,Australia,2666625
17839,Indie and Arthouse Movies,USA,2657445
12985,Sports Video Games,Egypt,2645745
8013,Concerts & Music Events,India,2634405
3387,National News,Saudi Arabia,2612115
3603,Fantasy Movies,USA,2598735
1975,Australian Rules Football,Pakistan,2561235
10746,Cricket,Pakistan,2559780
11688,News/Talk Radio,Nigeria,2542800
153,Outdoor Activities,Saudi Arabia,2534220
20221,News and Politics,Nigeria,2533425
592,Events and Attractions,Malaysia,2513040
10688,Malls & Shopping Centers,India,2510040
14370,News and Politics,Philippines,2502315
7992,Browsers,Thailand,2489325
7811,IT and Internet Support,Thailand,2486475
19679,Music and Party Video Games,Indonesia,2483745
20475,Digital Audio,Saudi Arabia,2482230
3259,News and Politics,Lebanon,2481885
13123,Events and Attractions,Egypt,2470260
8043,International News,Lebanon,2465535
17981,Television,Malaysia,2452215
13733,Role-Playing Video Games,Indonesia,2437665
7477,Local News,Lebanon,2437110
13622,Music and Party Video Games,Turkey,2434650
14373,National News,Lebanon,2430420
10380,Events and Attractions,USA,2429490
3476,Financial Assistance,Malaysia,2427960
5634,Personal Celebrations & Life Events,Philippines,2422380
1396,Rugby,South Africa,2406405
4181,Talk Radio,UAE,2406390
567,Educational Video Games,India,2405520
14768,Government Support and Welfare,Malaysia,2405010
16346,R&B/Soul/Funk,USA,2403510
2482,Music and Audio,USA,2403510
20403,Songwriters/Folk,USA,2403510
397,International News,South Africa,2400975
14096,Australian Rules Football,USA,2396520
20818,National News,Nigeria,2393565
8301,Puzzle Video Games,Vietnam,2365260
10701,Internet,UAE,2358420
12156,Computer Software and Applications,UAE,2355015
2104,Digital Audio,Algeria,2349240
20845,Children's TV,Saudi Arabia,2348805
15500,World Movies,UAE,2336325
20153,Travel Type,UAE,2335575
18165,Local News,Nigeria,2330970
7862,Asia Travel,India,2329470
11056,Talk Radio,Spain,2322840
5098,Role-Playing Video Games,UK,2315565
5548,Business News Radio,UAE,2314050
16585,Australian Rules Football,UAE,2306595
9125,News Radio,UAE,2306340
18756,Buddhism,India,2304435
5206,Africa Travel,India,2301360
18419,Desktop Publishing,Saudi Arabia,2299830
13122,Events and Attractions,Pakistan,2298345
4008,Photo Editing Software,Algeria,2297115
13888,Horror Movies,USA,2289615
4096,Action-Adventure Video Games,Indonesia,2288850
10742,Rugby,USA,2283240
20940,Puzzle Video Games,Saudi Arabia,2281755
3409,American Football,USA,2271150
13006,Content Production,Saudi Arabia,2270355
2270,National News,Philippines,2262615
18116,Video Software,Indonesia,2255490
14641,Video Software,Saudi Arabia,2252655
11795,News Radio,Spain,2249640
14645,Desktop Publishing,Algeria,2240265
14477,International News,Nigeria,2237340
18114,3-D Graphics,Algeria,2235750
16059,Rugby League,USA,2233830
1669,Operating Systems,Algeria,2226780
20533,Sports,India,2226480
9237,Snooker/Pool/Billiards,India,2226480
20543,Business News Radio,Spain,2225715
