name,Afghanistan,Algeria,Angola,Argentina,Australia,Austria,Bahrain,Bangladesh,Belgium,Bolivia,Bosnia-Herzegovina,Botswana,Brazil,Brunei,Cambodia,Cameroon,Canada,Chad,Chile,China,Colombia,Congo,Congo Dem Rep,CoteDIvore,Cuba,Czech,Denmark,Ecuador,Egypt,Eritrea,Ethiopia,Finland,France,Gabon,Gambia,Germany,Ghana,Greece,Hong Kong,Hungary,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Kuwait,Lebanon,Lesotho,Liberia,Libya,Madagascar,Malawi,Malaysia,Mali,Mauritania,Mauritius,Mexico,Mongolia,Morocco,Mozambique,Namibia,Netherlands,New Zealand,Niger,Nigeria,North Korea,Norway,Oman,Pakistan,Palestine,Paraguay,Peru,Philippines,Portugal,Qatar,Romania,Russia,Rwanda,Saudi Arabia,Senegal,Seychelles,Sierra Leone,Singapore,Slovakia,Somalia,South Africa,South Korea,South Sudan,Spain,Sri Lanka,Sudan,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tanzania,Thailand,Togo,Tunisia,Turkey,UAE,UK,USA,Uganda,Ukraine,Uruguay,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe
Interest > Adult Contemporary Music,11.0,2192.0,39.0,10.0,2984.0,94.0,3941.0,26.0,94.0,2.0,2.0,367.0,60.0,57.0,7.0,22.0,1828.0,3.0,8.0,72.0,8.0,5.0,73.0,27.0,3.0,46.0,64.0,5.0,5663.0,1.0,55.0,37.0,535.0,7.0,7.0,697.0,94.0,34.0,140.0,38.0,146010.0,365.0,127.0,523.0,482.0,313.0,676.0,11.0,167.0,1339.0,312.0,5444.0,1868.0,184.0,23.0,312.0,13.0,70.0,961.0,24.0,18.0,70.0,42.0,,1716.0,113.0,492.0,426.0,631.0,2.0,784.0,,239.0,4895.0,452.0,399.0,1.0,43.0,253.0,49.0,6894.0,26.0,186.0,29.0,18123.0,9.0,27.0,16.0,1098.0,5.0,20.0,133221.0,55.0,25.0,117.0,39.0,204.0,218.0,151.0,145.0,301.0,39.0,134.0,429.0,10.0,248.0,230.0,37302.0,2944.0,9743.0,109.0,35.0,2.0,7.0,59.0,129.0,201.0,312.0
Interest > Adult Contemporary Music > Soft AC Music,11.0,2080.0,37.0,9.0,2827.0,89.0,3775.0,23.0,84.0,2.0,2.0,289.0,51.0,54.0,6.0,20.0,1722.0,1.0,7.0,67.0,6.0,4.0,64.0,24.0,3.0,41.0,61.0,5.0,5207.0,1.0,44.0,33.0,481.0,7.0,7.0,640.0,85.0,32.0,134.0,35.0,139350.0,318.0,126.0,499.0,451.0,300.0,643.0,8.0,152.0,1268.0,289.0,5189.0,1565.0,147.0,19.0,291.0,12.0,61.0,885.0,23.0,16.0,57.0,38.0,,1637.0,90.0,389.0,403.0,597.0,2.0,756.0,,226.0,4660.0,440.0,368.0,1.0,43.0,225.0,44.0,6583.0,24.0,111.0,25.0,17368.0,7.0,26.0,15.0,1027.0,5.0,18.0,105998.0,52.0,25.0,108.0,38.0,189.0,173.0,139.0,140.0,285.0,35.0,123.0,417.0,9.0,227.0,210.0,35502.0,2704.0,9325.0,98.0,34.0,2.0,7.0,54.0,125.0,178.0,242.0
Interest > Adult Contemporary Music > Urban AC Music,10.0,1901.0,38.0,7.0,2695.0,87.0,3587.0,23.0,77.0,1.0,2.0,302.0,52.0,52.0,6.0,20.0,1619.0,2.0,7.0,62.0,6.0,5.0,65.0,23.0,3.0,37.0,55.0,5.0,4138.0,1.0,39.0,31.0,453.0,6.0,7.0,615.0,70.0,30.0,120.0,36.0,132152.0,301.0,125.0,455.0,422.0,279.0,611.0,8.0,148.0,1076.0,267.0,4872.0,1439.0,162.0,17.0,264.0,12.0,56.0,835.0,23.0,16.0,60.0,36.0,,1440.0,81.0,399.0,381.0,558.0,2.0,592.0,,214.0,4347.0,418.0,311.0,1.0,42.0,219.0,47.0,6173.0,25.0,125.0,23.0,15339.0,5.0,24.0,11.0,969.0,5.0,18.0,117333.0,51.0,22.0,99.0,30.0,172.0,180.0,133.0,132.0,267.0,38.0,113.0,415.0,8.0,209.0,186.0,33421.0,2639.0,8939.0,86.0,30.0,2.0,5.0,53.0,114.0,156.0,228.0
Interest > Alternative Medicine,1.0,176.0,9.0,1.0,842.0,26.0,1265.0,3.0,19.0,,1.0,56.0,5.0,24.0,2.0,3.0,494.0,1.0,1.0,17.0,2.0,,17.0,5.0,,11.0,14.0,,1078.0,,3.0,9.0,159.0,1.0,1.0,158.0,6.0,5.0,33.0,17.0,45016.0,83.0,120.0,157.0,126.0,121.0,200.0,3.0,65.0,523.0,32.0,1629.0,470.0,26.0,4.0,72.0,,7.0,472.0,20.0,2.0,5.0,8.0,1.0,171.0,14.0,27.0,111.0,173.0,,38.0,,109.0,1527.0,30.0,80.0,,40.0,48.0,5.0,2085.0,3.0,28.0,4.0,4508.0,,9.0,,384.0,,7.0,15238.0,18.0,1.0,18.0,13.0,44.0,20.0,31.0,42.0,117.0,8.0,19.0,269.0,3.0,41.0,37.0,10602.0,725.0,3483.0,13.0,15.0,,,14.0,56.0,14.0,13.0
Interest > Alternative Medicine > Herbs and Supplements,1.0,169.0,4.0,,386.0,14.0,454.0,,12.0,,,42.0,4.0,14.0,1.0,2.0,199.0,,,7.0,1.0,,13.0,4.0,,4.0,7.0,,878.0,,2.0,7.0,93.0,1.0,1.0,96.0,4.0,2.0,23.0,15.0,18393.0,64.0,119.0,150.0,54.0,56.0,79.0,3.0,40.0,343.0,17.0,613.0,385.0,20.0,3.0,69.0,,4.0,255.0,20.0,2.0,3.0,4.0,1.0,166.0,9.0,20.0,55.0,68.0,,23.0,,65.0,656.0,27.0,73.0,,25.0,38.0,3.0,1000.0,3.0,18.0,3.0,2427.0,,2.0,,193.0,,5.0,11929.0,11.0,1.0,8.0,3.0,38.0,12.0,24.0,19.0,100.0,4.0,8.0,239.0,2.0,38.0,34.0,5214.0,362.0,2362.0,6.0,8.0,,,6.0,55.0,8.0,11.0
Interest > Alternative Medicine > Holistic Health,1.0,145.0,3.0,1.0,453.0,20.0,722.0,1.0,10.0,,1.0,14.0,4.0,10.0,2.0,1.0,245.0,,1.0,9.0,,,13.0,3.0,,7.0,10.0,,711.0,,1.0,3.0,79.0,1.0,1.0,87.0,5.0,3.0,15.0,14.0,26580.0,48.0,119.0,95.0,68.0,67.0,114.0,2.0,37.0,438.0,17.0,934.0,355.0,10.0,3.0,50.0,,5.0,300.0,19.0,2.0,4.0,1.0,,134.0,6.0,11.0,64.0,101.0,,19.0,,85.0,884.0,14.0,64.0,,24.0,27.0,3.0,1343.0,2.0,19.0,1.0,2886.0,,6.0,,224.0,,7.0,5760.0,13.0,1.0,8.0,6.0,29.0,8.0,17.0,25.0,80.0,4.0,11.0,243.0,2.0,34.0,27.0,5947.0,381.0,2213.0,6.0,6.0,,,7.0,53.0,5.0,9.0
Interest > Arts and Crafts,4.0,384.0,9.0,6.0,2241.0,43.0,1293.0,16.0,39.0,1.0,2.0,93.0,21.0,33.0,4.0,7.0,813.0,,5.0,37.0,2.0,1.0,23.0,8.0,,19.0,28.0,1.0,733.0,,13.0,25.0,254.0,,,279.0,27.0,13.0,80.0,19.0,47988.0,117.0,125.0,88.0,249.0,93.0,218.0,6.0,85.0,446.0,106.0,1831.0,738.0,47.0,5.0,48.0,1.0,21.0,654.0,21.0,1.0,27.0,21.0,,199.0,36.0,75.0,154.0,348.0,,83.0,,134.0,1845.0,104.0,68.0,1.0,27.0,156.0,22.0,2707.0,10.0,28.0,9.0,4292.0,2.0,10.0,2.0,579.0,1.0,7.0,31654.0,41.0,1.0,52.0,23.0,48.0,33.0,64.0,85.0,56.0,15.0,41.0,321.0,1.0,49.0,49.0,15296.0,1186.0,6027.0,30.0,7.0,1.0,4.0,25.0,52.0,24.0,75.0
Interest > Arts and Crafts > Beadwork,4.0,264.0,7.0,4.0,1593.0,31.0,1001.0,4.0,22.0,,1.0,56.0,5.0,19.0,2.0,5.0,526.0,,2.0,28.0,,1.0,15.0,6.0,,11.0,16.0,,423.0,,7.0,7.0,156.0,,,176.0,15.0,6.0,48.0,15.0,36611.0,84.0,121.0,55.0,148.0,57.0,155.0,4.0,64.0,117.0,53.0,1438.0,411.0,26.0,2.0,24.0,1.0,9.0,293.0,20.0,1.0,16.0,10.0,,148.0,15.0,34.0,86.0,242.0,,43.0,,97.0,1400.0,54.0,42.0,1.0,26.0,89.0,7.0,2191.0,1.0,17.0,4.0,2832.0,,2.0,1.0,401.0,1.0,5.0,17662.0,27.0,,17.0,11.0,21.0,18.0,34.0,45.0,29.0,9.0,22.0,288.0,1.0,24.0,20.0,11356.0,814.0,4345.0,16.0,1.0,,1.0,19.0,45.0,9.0,20.0
Interest > Arts and Crafts > Candle and Soap Making,2.0,112.0,3.0,3.0,1004.0,10.0,310.0,6.0,9.0,,,32.0,7.0,13.0,2.0,4.0,218.0,,2.0,13.0,,,10.0,3.0,,5.0,5.0,1.0,466.0,,3.0,8.0,101.0,,,82.0,6.0,4.0,32.0,14.0,14468.0,44.0,122.0,47.0,67.0,30.0,52.0,1.0,30.0,133.0,49.0,435.0,322.0,17.0,2.0,28.0,,14.0,329.0,19.0,,19.0,12.0,,103.0,14.0,24.0,53.0,88.0,,29.0,,64.0,470.0,25.0,49.0,,24.0,99.0,11.0,534.0,2.0,10.0,3.0,1556.0,,3.0,,215.0,1.0,2.0,11792.0,16.0,,16.0,10.0,28.0,15.0,19.0,15.0,29.0,7.0,10.0,258.0,1.0,12.0,15.0,3825.0,284.0,2868.0,9.0,3.0,1.0,3.0,7.0,46.0,5.0,27.0
Interest > Arts and Crafts > Drawing and Sketching,3.0,39.0,2.0,2.0,1148.0,16.0,425.0,5.0,14.0,,1.0,25.0,6.0,13.0,3.0,2.0,289.0,,1.0,16.0,,1.0,10.0,3.0,,4.0,8.0,,157.0,,6.0,8.0,97.0,,,93.0,5.0,6.0,36.0,14.0,15733.0,31.0,119.0,36.0,89.0,20.0,69.0,2.0,28.0,51.0,30.0,613.0,323.0,16.0,4.0,16.0,1.0,9.0,300.0,17.0,,8.0,7.0,,41.0,11.0,18.0,42.0,131.0,,13.0,,47.0,693.0,31.0,14.0,,24.0,38.0,6.0,947.0,2.0,12.0,6.0,1286.0,1.0,3.0,,202.0,,4.0,8139.0,12.0,1.0,17.0,9.0,17.0,8.0,23.0,44.0,10.0,6.0,11.0,255.0,1.0,9.0,16.0,6517.0,415.0,3343.0,15.0,3.0,1.0,,11.0,7.0,10.0,23.0
Interest > Arts and Crafts > Jewelry Making,3.0,177.0,5.0,2.0,1000.0,8.0,334.0,7.0,10.0,,1.0,30.0,6.0,13.0,1.0,4.0,246.0,,3.0,8.0,,,6.0,1.0,,4.0,6.0,,253.0,,3.0,8.0,68.0,,,87.0,8.0,5.0,33.0,13.0,15607.0,20.0,121.0,36.0,66.0,32.0,58.0,2.0,33.0,236.0,24.0,481.0,215.0,14.0,2.0,19.0,,12.0,336.0,18.0,,9.0,13.0,,94.0,11.0,22.0,52.0,95.0,,25.0,,54.0,456.0,50.0,39.0,,24.0,93.0,8.0,616.0,1.0,9.0,3.0,1571.0,,1.0,,192.0,1.0,2.0,7820.0,17.0,,12.0,5.0,27.0,15.0,18.0,14.0,18.0,5.0,12.0,253.0,,9.0,17.0,4344.0,359.0,2846.0,10.0,3.0,1.0,2.0,3.0,48.0,7.0,21.0
Interest > Arts and Crafts > Needlework,,54.0,3.0,1.0,948.0,21.0,630.0,2.0,14.0,,2.0,25.0,3.0,13.0,1.0,2.0,348.0,,1.0,12.0,2.0,1.0,5.0,3.0,,7.0,10.0,,97.0,,6.0,8.0,76.0,,,92.0,2.0,1.0,25.0,13.0,22229.0,54.0,,17.0,90.0,37.0,90.0,2.0,40.0,45.0,18.0,881.0,114.0,7.0,3.0,7.0,1.0,4.0,181.0,17.0,1.0,1.0,2.0,,44.0,10.0,14.0,60.0,140.0,,7.0,,45.0,824.0,4.0,26.0,,24.0,12.0,6.0,1465.0,3.0,7.0,3.0,1577.0,,4.0,,225.0,,4.0,5631.0,13.0,,11.0,8.0,8.0,3.0,22.0,29.0,13.0,7.0,13.0,258.0,,11.0,10.0,6672.0,483.0,2542.0,8.0,3.0,,,12.0,3.0,7.0,12.0
Interest > Arts and Crafts > Painting,1.0,134.0,4.0,3.0,1071.0,19.0,520.0,6.0,16.0,1.0,,38.0,9.0,12.0,1.0,2.0,290.0,,2.0,16.0,,1.0,7.0,5.0,,6.0,14.0,,206.0,,6.0,8.0,87.0,,,99.0,17.0,4.0,35.0,4.0,19754.0,25.0,121.0,37.0,111.0,37.0,103.0,2.0,29.0,64.0,30.0,658.0,220.0,22.0,2.0,12.0,,6.0,207.0,18.0,,6.0,7.0,,74.0,19.0,21.0,55.0,121.0,,37.0,,63.0,711.0,33.0,36.0,,2.0,56.0,12.0,940.0,4.0,14.0,5.0,1430.0,2.0,4.0,2.0,202.0,,1.0,11358.0,17.0,1.0,26.0,11.0,14.0,11.0,21.0,38.0,22.0,5.0,15.0,253.0,,28.0,20.0,5878.0,400.0,2987.0,12.0,2.0,,1.0,10.0,9.0,10.0,32.0
Interest > Arts and Crafts > Photography,,90.0,4.0,1.0,1239.0,22.0,589.0,4.0,20.0,1.0,2.0,38.0,3.0,22.0,1.0,1.0,392.0,,1.0,21.0,2.0,1.0,8.0,3.0,,10.0,11.0,,101.0,,5.0,11.0,88.0,,,109.0,12.0,6.0,39.0,14.0,21165.0,49.0,3.0,27.0,112.0,33.0,87.0,3.0,48.0,128.0,29.0,776.0,370.0,19.0,3.0,9.0,1.0,6.0,360.0,18.0,1.0,4.0,8.0,,33.0,16.0,32.0,57.0,176.0,,16.0,,53.0,809.0,58.0,30.0,,26.0,62.0,6.0,1212.0,4.0,15.0,5.0,1411.0,2.0,5.0,,268.0,,3.0,13517.0,19.0,1.0,22.0,9.0,13.0,14.0,33.0,46.0,19.0,7.0,17.0,261.0,,25.0,16.0,7788.0,624.0,3632.0,16.0,6.0,1.0,,13.0,37.0,14.0,33.0
Interest > Arts and Crafts > Scrapbooking,,165.0,1.0,,751.0,5.0,299.0,1.0,5.0,,,9.0,,11.0,1.0,,137.0,,,11.0,,1.0,3.0,1.0,,4.0,3.0,,85.0,,,1.0,39.0,,,29.0,2.0,1.0,4.0,1.0,10999.0,17.0,2.0,16.0,31.0,25.0,35.0,1.0,21.0,30.0,4.0,334.0,137.0,5.0,1.0,7.0,,3.0,81.0,6.0,,2.0,4.0,,35.0,7.0,10.0,24.0,67.0,,10.0,,24.0,399.0,5.0,5.0,1.0,,32.0,1.0,463.0,,3.0,2.0,826.0,1.0,3.0,,99.0,,,5704.0,7.0,,2.0,3.0,6.0,3.0,9.0,8.0,5.0,2.0,6.0,235.0,,13.0,3.0,2641.0,216.0,1191.0,3.0,1.0,,,4.0,36.0,,4.0
Interest > Arts and Crafts > Woodworking,,108.0,1.0,,344.0,1.0,119.0,1.0,,,,8.0,2.0,5.0,,1.0,29.0,,,3.0,,,1.0,,,1.0,1.0,,64.0,,,,31.0,,,14.0,3.0,,2.0,1.0,4636.0,12.0,118.0,6.0,13.0,7.0,21.0,,3.0,180.0,10.0,144.0,80.0,2.0,1.0,9.0,,1.0,62.0,17.0,,,1.0,,47.0,2.0,2.0,10.0,18.0,,6.0,,21.0,147.0,6.0,27.0,,1.0,5.0,1.0,233.0,,5.0,1.0,420.0,,1.0,,33.0,,1.0,2168.0,6.0,,,3.0,5.0,2.0,4.0,1.0,5.0,1.0,1.0,228.0,,14.0,4.0,1117.0,55.0,864.0,4.0,,,,2.0,2.0,1.0,6.0
