name,Afghanistan,Algeria,Angola,Argentina,Australia,Austria,Bahrain,Bangladesh,Belgium,Bolivia,Bosnia-Herzegovina,Botswana,Brazil,Brunei,Cambodia,Cameroon,Canada,Chad,Chile,China,Colombia,Congo,Congo Dem Rep,CoteDIvore,Cuba,Czech,Denmark,Ecuador,Egypt,Eritrea,Ethiopia,Finland,France,Gabon,Gambia,Germany,Ghana,Greece,Hong Kong,Hungary,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Kuwait,Lebanon,Lesotho,Liberia,Libya,Madagascar,Malawi,Malaysia,Mali,Mauritania,Mauritius,Mexico,Mongolia,Morocco,Mozambique,Namibia,Netherlands,New Zealand,Niger,Nigeria,North Korea,Norway,Oman,Pakistan,Palestine,Paraguay,Peru,Philippines,Portugal,Qatar,Romania,Russia,Rwanda,Saudi Arabia,Senegal,Seychelles,Sierra Leone,Singapore,Slovakia,Somalia,South Africa,South Korea,South Sudan,Spain,Sri Lanka,Sudan,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tanzania,Thailand,Togo,Tunisia,Turkey,UAE,UK,USA,Uganda,Ukraine,Uruguay,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe
Interest > Adult Contemporary Music,4600.0,64542.0,1554.0,10827.0,119084.0,5100.0,52652.0,7874.0,15595.0,3254.0,562.0,1926.0,81865.0,5480.0,2624.0,4185.0,61989.0,334.0,6393.0,5492.0,14298.0,211.0,2688.0,3474.0,448.0,5202.0,5076.0,3019.0,95897.0,37.0,5045.0,3548.0,140647.0,516.0,594.0,62232.0,7830.0,7974.0,15684.0,2726.0,1757892.0,893446.0,2484.0,19020.0,35009.0,14435.0,38997.0,1341.0,134895.0,22561.0,26126.0,92713.0,24562.0,929.0,829.0,9346.0,1397.0,1532.0,1097346.0,1034.0,755.0,3130.0,21058.0,182.0,90479.0,2252.0,2664.0,45682.0,33310.0,1572.0,305075.0,3.0,6311.0,69459.0,108658.0,7093.0,1910.0,13682.0,351107.0,8838.0,119746.0,10223.0,8051.0,1050.0,347391.0,1937.0,451.0,1355.0,102198.0,1048.0,648.0,319584.0,32301.0,1092.0,43533.0,5908.0,7157.0,1038.0,9296.0,11955.0,7833.0,12219.0,10929.0,253605.0,679.0,19290.0,13853.0,506276.0,95145.0,253668.0,6305.0,3846.0,1607.0,3081.0,18622.0,3698.0,4147.0,3112.0
Interest > Adult Contemporary Music > Soft AC Music,4542.0,57810.0,1219.0,9635.0,107251.0,4292.0,49145.0,4831.0,13504.0,2950.0,465.0,1513.0,78843.0,4788.0,2366.0,3587.0,52514.0,305.0,5549.0,4737.0,13087.0,182.0,2179.0,2804.0,387.0,4605.0,4457.0,2553.0,88374.0,32.0,4633.0,3015.0,120233.0,427.0,540.0,55307.0,6617.0,7267.0,13827.0,2319.0,1541199.0,819058.0,2227.0,17944.0,29650.0,11840.0,32531.0,1203.0,107064.0,20893.0,24298.0,86333.0,17093.0,727.0,733.0,8767.0,1139.0,1333.0,858528.0,817.0,670.0,2897.0,17850.0,158.0,84598.0,1771.0,2180.0,41852.0,24058.0,1498.0,299610.0,3.0,5462.0,64277.0,103359.0,6673.0,1787.0,12640.0,299825.0,8054.0,112258.0,9504.0,6954.0,912.0,329507.0,1615.0,424.0,1211.0,82478.0,840.0,590.0,250192.0,25831.0,960.0,36283.0,4329.0,6669.0,743.0,8030.0,10346.0,7516.0,9654.0,9751.0,198467.0,533.0,16383.0,11767.0,470622.0,85964.0,200078.0,5535.0,3270.0,1435.0,2556.0,17825.0,3458.0,3253.0,2555.0
Interest > Adult Contemporary Music > Urban AC Music,4161.0,50036.0,1110.0,6074.0,89666.0,3521.0,43852.0,3241.0,10235.0,865.0,421.0,1458.0,41564.0,4717.0,2070.0,2769.0,42651.0,217.0,3307.0,4548.0,5522.0,161.0,1852.0,2408.0,137.0,3938.0,3199.0,1482.0,70202.0,29.0,3903.0,2225.0,98510.0,375.0,372.0,47337.0,4987.0,6650.0,11627.0,1799.0,1409519.0,720398.0,2138.0,14554.0,19577.0,11249.0,28458.0,888.0,109959.0,16959.0,22467.0,75885.0,14999.0,742.0,603.0,7611.0,997.0,973.0,864990.0,711.0,525.0,2234.0,9817.0,131.0,58579.0,1557.0,2003.0,33141.0,20365.0,895.0,155656.0,2.0,4213.0,56889.0,92100.0,5247.0,845.0,6241.0,306520.0,6188.0,100452.0,7868.0,6202.0,804.0,275572.0,1352.0,338.0,827.0,81291.0,616.0,493.0,269133.0,21675.0,747.0,21795.0,3326.0,5421.0,743.0,6036.0,7993.0,6451.0,9794.0,9176.0,220127.0,469.0,14818.0,10259.0,425299.0,74090.0,166380.0,4473.0,2803.0,703.0,1378.0,5291.0,2794.0,2773.0,2178.0
Interest > Alternative Medicine,166.0,6069.0,206.0,281.0,30188.0,863.0,11770.0,534.0,1382.0,78.0,112.0,353.0,635.0,3008.0,671.0,159.0,10194.0,34.0,196.0,2075.0,192.0,19.0,212.0,209.0,21.0,1044.0,783.0,117.0,20229.0,3.0,297.0,559.0,8734.0,65.0,58.0,10347.0,886.0,540.0,3366.0,495.0,381250.0,75316.0,571.0,4035.0,3740.0,4253.0,5313.0,111.0,18419.0,6411.0,1144.0,19902.0,6867.0,150.0,87.0,1661.0,144.0,147.0,690066.0,86.0,217.0,236.0,465.0,65.0,4743.0,269.0,283.0,7394.0,10719.0,58.0,1750.0,1.0,1155.0,16285.0,4133.0,1393.0,121.0,166.0,39031.0,786.0,26505.0,758.0,872.0,129.0,65975.0,240.0,84.0,85.0,65495.0,163.0,159.0,47570.0,7909.0,115.0,1732.0,661.0,1389.0,129.0,1530.0,1690.0,2873.0,2306.0,375.0,28218.0,53.0,1599.0,2702.0,128803.0,29017.0,48182.0,298.0,580.0,24.0,114.0,1882.0,817.0,295.0,270.0
Interest > Alternative Medicine > Herbs and Supplements,133.0,5597.0,136.0,200.0,13110.0,527.0,4530.0,350.0,907.0,57.0,78.0,233.0,462.0,1942.0,400.0,103.0,5527.0,27.0,150.0,1186.0,144.0,12.0,134.0,139.0,18.0,504.0,512.0,91.0,16358.0,2.0,178.0,348.0,4945.0,48.0,51.0,5577.0,732.0,363.0,2083.0,328.0,144305.0,41067.0,450.0,3583.0,1724.0,2884.0,2446.0,81.0,12330.0,5199.0,897.0,8290.0,5745.0,124.0,33.0,1534.0,119.0,91.0,461041.0,62.0,191.0,181.0,336.0,46.0,4253.0,190.0,219.0,3466.0,4656.0,51.0,1417.0,1.0,654.0,7917.0,3740.0,1199.0,96.0,131.0,30177.0,408.0,12299.0,595.0,581.0,87.0,41051.0,211.0,47.0,47.0,37709.0,112.0,135.0,36218.0,5744.0,83.0,1039.0,422.0,1241.0,94.0,1024.0,958.0,2062.0,1464.0,229.0,19570.0,36.0,1358.0,2272.0,75765.0,14026.0,27808.0,184.0,362.0,17.0,82.0,1217.0,745.0,214.0,190.0
Interest > Alternative Medicine > Holistic Health,106.0,4730.0,130.0,165.0,9876.0,455.0,5946.0,327.0,582.0,53.0,72.0,156.0,324.0,1429.0,378.0,75.0,4065.0,23.0,118.0,1176.0,112.0,13.0,103.0,101.0,14.0,521.0,357.0,82.0,13796.0,3.0,164.0,233.0,4641.0,45.0,42.0,5710.0,366.0,280.0,1791.0,261.0,189509.0,36805.0,331.0,2729.0,1283.0,3067.0,2691.0,49.0,12564.0,4907.0,549.0,10131.0,5072.0,44.0,46.0,1208.0,96.0,88.0,317553.0,48.0,166.0,108.0,249.0,46.0,3420.0,135.0,136.0,3395.0,6985.0,33.0,877.0,1.0,596.0,9256.0,2558.0,1029.0,90.0,110.0,21337.0,419.0,14957.0,441.0,544.0,76.0,41079.0,98.0,42.0,37.0,33270.0,85.0,108.0,15384.0,6193.0,68.0,787.0,353.0,996.0,55.0,824.0,697.0,2195.0,1557.0,206.0,16202.0,28.0,1162.0,1580.0,55650.0,9467.0,20468.0,151.0,333.0,16.0,85.0,1163.0,601.0,129.0,136.0
Interest > Arts and Crafts,320.0,11930.0,396.0,1377.0,131864.0,2587.0,12486.0,3146.0,7671.0,422.0,653.0,613.0,4178.0,3431.0,2100.0,913.0,45931.0,59.0,1464.0,4575.0,1063.0,101.0,1110.0,1098.0,53.0,2352.0,3770.0,473.0,12742.0,9.0,782.0,2664.0,56597.0,192.0,174.0,22028.0,1965.0,2886.0,10986.0,1743.0,389741.0,209674.0,1465.0,4460.0,14838.0,7632.0,12332.0,625.0,74784.0,6671.0,5837.0,23227.0,14721.0,201.0,177.0,1274.0,489.0,448.0,819132.0,219.0,225.0,1077.0,3085.0,693.0,7913.0,568.0,687.0,14401.0,56658.0,109.0,5418.0,4.0,9824.0,17924.0,10809.0,1476.0,488.0,846.0,268453.0,2788.0,34140.0,2377.0,2899.0,303.0,70475.0,698.0,171.0,170.0,167238.0,941.0,325.0,114814.0,17325.0,138.0,14399.0,2160.0,1265.0,230.0,5854.0,6853.0,1859.0,9979.0,1097.0,138280.0,191.0,4155.0,4620.0,150055.0,49779.0,197783.0,1071.0,1544.0,324.0,342.0,8650.0,803.0,674.0,877.0
Interest > Arts and Crafts > Beadwork,194.0,6777.0,203.0,479.0,55054.0,897.0,8070.0,1157.0,3351.0,95.0,104.0,355.0,1140.0,1799.0,919.0,477.0,13542.0,43.0,299.0,2396.0,320.0,62.0,614.0,604.0,24.0,845.0,978.0,156.0,6414.0,5.0,304.0,540.0,35618.0,112.0,69.0,9652.0,639.0,1033.0,4536.0,598.0,246650.0,163790.0,1077.0,1506.0,3409.0,3427.0,5122.0,133.0,40567.0,2188.0,2425.0,14792.0,6969.0,119.0,54.0,602.0,251.0,111.0,300068.0,124.0,147.0,453.0,880.0,87.0,5205.0,284.0,322.0,5593.0,29507.0,64.0,2314.0,1.0,1505.0,11543.0,4502.0,749.0,123.0,309.0,122712.0,722.0,22485.0,936.0,1295.0,155.0,36212.0,392.0,77.0,61.0,91050.0,236.0,162.0,63387.0,9014.0,81.0,2357.0,673.0,657.0,133.0,1628.0,2415.0,1087.0,4719.0,486.0,105617.0,107.0,2351.0,1569.0,93043.0,19451.0,60819.0,513.0,671.0,54.0,145.0,3640.0,400.0,223.0,327.0
Interest > Arts and Crafts > Candle and Soap Making,214.0,4008.0,146.0,650.0,57673.0,862.0,3126.0,1061.0,2348.0,109.0,119.0,239.0,1966.0,1355.0,922.0,187.0,13956.0,22.0,382.0,2821.0,522.0,23.0,163.0,214.0,25.0,846.0,1320.0,210.0,6893.0,4.0,324.0,853.0,16017.0,64.0,71.0,7632.0,962.0,664.0,5031.0,707.0,90682.0,16639.0,604.0,1663.0,3850.0,2686.0,3659.0,263.0,28457.0,2742.0,3091.0,5905.0,5047.0,70.0,50.0,704.0,226.0,168.0,363121.0,71.0,131.0,431.0,1306.0,98.0,3561.0,224.0,299.0,4978.0,14105.0,58.0,2459.0,2.0,7510.0,4524.0,2960.0,953.0,134.0,379.0,129300.0,902.0,7866.0,801.0,963.0,117.0,28593.0,152.0,72.0,77.0,112483.0,296.0,158.0,45690.0,6644.0,75.0,2833.0,873.0,712.0,108.0,2144.0,2042.0,1158.0,3683.0,385.0,95781.0,44.0,1322.0,1956.0,39327.0,19190.0,69510.0,443.0,596.0,104.0,166.0,2720.0,430.0,273.0,295.0
Interest > Arts and Crafts > Drawing and Sketching,195.0,3012.0,212.0,477.0,41037.0,825.0,3607.0,1667.0,2075.0,297.0,484.0,232.0,1171.0,1067.0,1061.0,469.0,13104.0,25.0,832.0,1584.0,355.0,45.0,558.0,478.0,26.0,764.0,1509.0,235.0,2951.0,5.0,342.0,944.0,14557.0,104.0,105.0,6653.0,683.0,755.0,3749.0,496.0,98642.0,8935.0,385.0,2350.0,5853.0,1635.0,3543.0,271.0,17413.0,1608.0,1402.0,6912.0,4614.0,85.0,72.0,594.0,236.0,210.0,348283.0,118.0,143.0,383.0,949.0,599.0,1779.0,280.0,294.0,4204.0,8599.0,59.0,1401.0,3.0,6706.0,6025.0,5151.0,439.0,405.0,340.0,75084.0,936.0,9770.0,674.0,993.0,133.0,17645.0,332.0,73.0,80.0,39468.0,485.0,184.0,31620.0,2906.0,80.0,8054.0,893.0,469.0,79.0,1692.0,2202.0,538.0,2980.0,455.0,14123.0,98.0,1196.0,1425.0,51473.0,14979.0,52026.0,459.0,492.0,176.0,141.0,2179.0,370.0,287.0,397.0
